card_id,bank,country,home_geo,holder_email,status
CARD_0000,HDFC,IN,IN-Mumbai,user0000@example.com,active
CARD_0001,SBI,IN,IN-Chennai,user0001@example.com,active
CARD_0002,ICICI,IN,IN-Bangalore,user0002@example.com,active
CARD_0003,HDFC,IN,IN-Delhi,user0003@example.com,active
CARD_0004,Kotak,IN,IN-Pune,user0004@example.com,active
CARD_0005,HDFC,IN,IN-Mumbai,user0005@example.com,active
CARD_0006,HDFC,IN,IN-Chennai,user0006@example.com,active
CARD_0007,ICICI,IN,IN-Mumbai,user0007@example.com,active
CARD_0008,Kotak,IN,IN-Chennai,user0008@example.com,active
CARD_0009,Kotak,IN,IN-Pune,user0009@example.com,active
CARD_0010,ICICI,IN,IN-Ahmedabad,user0010@example.com,active
CARD_0011,Kotak,IN,IN-Kolkata,user0011@example.com,active
CARD_0012,HDFC,IN,IN-Bangalore,user0012@example.com,active
CARD_0013,Axis,IN,IN-Hyderabad,user0013@example.com,active
CARD_0014,SBI,IN,IN-Bangalore,user0014@example.com,active
CARD_0015,ICICI,IN,IN-Hyderabad,user0015@example.com,active
CARD_0016,HDFC,IN,IN-Delhi,user0016@example.com,active
CARD_0017,Axis,IN,IN-Delhi,user0017@example.com,active
CARD_0018,SBI,IN,IN-Hyderabad,user0018@example.com,active
CARD_0019,Kotak,IN,IN-Kolkata,user0019@example.com,active
CARD_0020,HDFC,IN,IN-Ahmedabad,user0020@example.com,active
CARD_0021,Kotak,IN,IN-Delhi,user0021@example.com,active
CARD_0022,Axis,IN,IN-Delhi,user0022@example.com,active
CARD_0023,Kotak,IN,IN-Kolkata,user0023@example.com,active
CARD_0024,Kotak,IN,IN-Hyderabad,user0024@example.com,active
CARD_0025,Kotak,IN,IN-Chennai,user0025@example.com,active
CARD_0026,HDFC,IN,IN-Mumbai,user0026@example.com,active
CARD_0027,ICICI,IN,IN-Kolkata,user0027@example.com,active
CARD_0028,HDFC,IN,IN-Chennai,user0028@example.com,active
